Title,Rating,Video Link,Muscle Group,Equipment
Decline Dumbbell Bench Press,8.5,https://www.bodybuilding.com/exercises/detail/view/name/decline-dumbbell-bench-press,Chest,Dumbbell
Decline Dumbbell Flyes,9,https://www.bodybuilding.com/exercises/detail/view/name/decline-dumbbell-flyes,Chest,Dumbbell
Decline Dumbbell Triceps Extension,8.5,https://www.bodybuilding.com/exercises/detail/view/name/decline-dumbbell-triceps-extension,Triceps,Dumbbell
Decline EZ Bar Triceps Extension,9.3,https://www.bodybuilding.com/exercises/detail/view/name/decline-ez-bar-triceps-extension,Triceps,Barbell
Decline Oblique Crunch,8.5,https://www.bodybuilding.com/exercises/detail/view/name/decline-oblique-crunch,Abdominals,Body Only
Decline Push-Up,8.6,https://www.bodybuilding.com/exercises/detail/view/name/decline-push-up,Chest,None
Decline Reverse Crunch,9.2,https://www.bodybuilding.com/exercises/detail/view/name/decline-reverse-crunch,Abdominals,Body Only
Decline Smith Press,8.4,https://www.bodybuilding.com/exercises/detail/view/name/decline-smith-press,Chest,Machine
Deficit Deadlift,9.4,https://www.bodybuilding.com/exercises/detail/view/name/deficit-deadlift,Lower Back,Barbell
Dip Machine,8.8,https://www.bodybuilding.com/exercises/detail/view/name/dip-machine,Triceps,Machine
Dips - Chest Version,9,https://www.bodybuilding.com/exercises/detail/view/name/dips-chest-version,Chest,Other
Dips - Triceps Version,9.4,https://www.bodybuilding.com/exercises/detail/view/name/dips-triceps-version,Triceps,Body Only
Double Leg Butt Kick,8.8,https://www.bodybuilding.com/exercises/detail/view/name/double-leg-butt-kick,Quadriceps,Body Only
Drag Curl,8.5,https://www.bodybuilding.com/exercises/detail/view/name/drag-curl,Biceps,Barbell
Drop Push,8.8,https://www.bodybuilding.com/exercises/detail/view/name/drop-push,Chest,Other
Dumbbell Alternate Bicep Curl,8.7,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-alternate-bicep-curl,Biceps,Dumbbell
Dumbbell Bench Press,9.2,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-bench-press,Chest,Dumbbell
Dumbbell Bench Press with Neutral Grip,8.7,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-bench-press-with-neutral-grip,Chest,Dumbbell
Dumbbell Bicep Curl,8.9,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-bicep-curl,Biceps,Dumbbell
Dumbbell Clean,8.2,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-clean,Hamstrings,Dumbbell
Dumbbell Floor Press,9.3,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-floor-press,Triceps,Dumbbell
